guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
lauren01@adams-booth.com,False,BASIC,15.81,2020-01-30,2020-02-02,104.97,"6535 Andre Mountain Suite 741
Melaniestad, VA 73781",372933357404500
thuff@gonzales-turner.com,False,BASIC,11.88,2020-10-06,2020-10-08,148.07,"1234 Corporate Drive
Boston, MA 02116",180095059590051
olynch@johnson-flores.info,False,BASIC,7.95,2020-02-07,2020-02-13,116.41,"Unit 4836 Box 7023
DPO AP 35520",587204144410
erichancock@stevenson.com,False,BASIC,14.6,2020-10-22,2020-10-24,111.04,"1234 Corporate Drive
Boston, MA 02116",30024532098062
shellysanders@may.org,False,BASIC,1.62,2020-05-08,,115.75,"49000 Johnson Cliffs Apt. 103
Jeremiahmouth, VA 47676",38440114662640
abigail37@wheeler.com,False,BASIC,18.49,2020-05-20,2020-05-21,262.15,"5678 Office Road
San Francisco, CA 94103",180015045859238
courtneyclark@young.com,False,BASIC,19.12,2020-05-03,2020-05-06,128.42,"77 Massachusetts Ave
Cambridge, MA 02139",4549468928629
dpennington@colon.org,False,BASIC,18.73,2020-12-17,2020-12-19,142.34,"7602 John Mill Apt. 258
Dustinbury, DE 85141",4666313723276
johnshannon@torres.com,False,BASIC,8.63,2020-12-30,2020-12-31,143.68,"77 Massachusetts Ave
Cambridge, MA 02139",4985421083146672550
myersmonica@jacobs.net,False,BASIC,10.45,2020-02-04,,155.61,"216 Stephanie Islands
Elainechester, DE 62055",4997172877158950
jvillarreal@cortez.info,False,BASIC,35.24,2020-07-30,2020-08-01,158.05,"34567 Nicholas Light
Hollyton, SC 33623",4411850363237942055
brittany47@joseph.com,False,BASIC,21.93,2020-11-27,2020-11-30,109.87,"047 Wood Spur Apt. 718
East Katrinaside, NC 99656",213115290031599
nford@hull.com,False,BASIC,12.33,2020-12-22,2020-12-23,116.2,"20185 Devin Junction Suite 985
New Damonshire, PA 92492",4687341156413122
jeffmcgee@griffin.com,False,SUITE,32.28,2020-03-25,2020-03-31,259.39,"787 Macias Village
North Thomasfurt, IA 83225",4241673115783198
rwebster@hicks.com,False,BASIC,21.66,2020-04-07,2020-04-11,109.86,"7874 Joshua Hills Apt. 837
Fullerfort, HI 81547",372955946988099
melissa09@bryan.com,False,BASIC,0.72,2020-02-15,2020-02-17,162.9,"1234 Corporate Drive
Boston, MA 02116",4491757306201
deborah36@escobar.net,False,BASIC,,2020-01-15,2020-01-17,112.16,"PSC 8213, Box 6869
APO AP 90929",3579007539433433
munozbeth@knox-howell.com,False,BASIC,20.11,2020-12-18,2020-12-19,118.56,"5678 Office Road
San Francisco, CA 94103",3580413909844349
blewis@mills.com,False,BASIC,,2020-08-22,2020-08-24,110.05,"4584 Barton Lock Apt. 572
South Mariaburgh, SD 73807",6011949938610104
erika24@gregory.com,False,BASIC,19.07,2020-12-16,2020-12-18,111.1,"77 Massachusetts Ave
Cambridge, MA 02139",180032330097168
david55@marshall.org,False,BASIC,19.0,2020-11-04,2020-11-06,144.18,"74489 Simmons Trail
Valdezstad, GA 17568",341355228072233
smithlaura@cox.org,False,BASIC,5.13,2020-12-04,2020-12-08,112.87,"726 Riley Course
Lake Oliviastad, CO 74863",6011643216990045
lisa92@lee.com,False,BASIC,34.09,2020-06-04,2020-06-05,112.4,"1025 Christopher Park Suite 699
East Tanyachester, MA 41757",6511354105782676
rhondaharding@morgan.info,True,BASIC,0.0,2020-05-08,2020-05-09,112.9,"250 Nicole Ramp
Lyonsview, OK 87183",6564242690472975
moorejason@hill.net,False,DELUXE,28.63,2020-11-17,2020-11-20,208.13,"2213 Morgan View Apt. 260
Jamesville, NM 91998",36569835461700
omartin@simmons.com,False,BASIC,13.52,2020-03-27,2020-03-29,144.36,"6078 Henry Passage Apt. 109
Mccartyberg, KS 32014",6594752414460290
wendysaunders@miller.com,False,BASIC,,2020-11-16,2020-11-17,123.83,"5678 Office Road
San Francisco, CA 94103",569933702650
thomas44@graham.com,False,DELUXE,,2020-05-27,2020-05-29,178.48,"1234 Corporate Drive
Boston, MA 02116",6576602748020280
dmcdaniel@owens.com,False,BASIC,7.64,2020-02-17,2020-02-20,137.72,"961 Garcia Brook Apt. 841
Lake Mackenzieside, ID 35690",3503411381423842
michael54@soto.com,False,BASIC,18.59,2020-03-31,2020-04-04,133.06,"5678 Office Road
San Francisco, CA 94103",6528592436769653
jjohnson@miller.com,False,BASIC,37.29,2020-03-19,2020-03-22,155.6,"6982 James Point
Lake Timothy, MA 16791",4003165645292
dylanrobertson@williams.com,True,BASIC,0.0,2020-12-19,2020-12-21,88.62,"1234 Corporate Drive
Boston, MA 02116",4465897140001
renee45@jennings.info,False,DELUXE,,2020-12-21,2020-12-22,424.84,"27819 Jillian Street Suite 431
West Kimbury, CO 74361",4251675636023801863
patricknancy@good.com,False,BASIC,10.39,2020-07-25,2020-07-27,105.86,"43132 Neal Port
Port Ashleyport, MO 33779",566409227600
pwaters@lewis.com,False,BASIC,16.38,2020-12-27,2020-12-31,141.55,"77 Massachusetts Ave
Cambridge, MA 02139",6011877890909802
amanda14@klein-mcconnell.net,False,BASIC,15.13,2020-07-12,2020-07-13,121.03,"0629 Elizabeth Brook
Hansonton, AZ 30055",36988276304577
castrojeffrey@clark.com,False,DELUXE,26.68,2021-01-01,2021-01-04,187.34,"7807 Jessica Plaza
New David, MI 57970",502017290318
nathanwhite@nielsen.com,False,BASIC,18.63,2020-12-24,2020-12-27,145.43,"64885 Tapia Passage Suite 661
South Williamburgh, UT 73113",3510478677464500
zliu@moran-hernandez.com,False,BASIC,25.82,2020-06-30,2020-07-02,115.16,"300 Logan Alley
West Markport, NE 43825",213166103570232
bryan94@jennings-reyes.com,True,DELUXE,0.0,2020-03-09,2020-03-10,141.94,"922 Karen Inlet
Theresachester, DE 47978",38883115614070
robert55@mueller-ramos.com,False,DELUXE,,2020-11-20,2020-11-22,181.25,"USNV Shaw
FPO AA 48544",2636340729859940
michael40@ryan.com,False,BASIC,,2020-04-15,2020-04-16,131.74,"77 Massachusetts Ave
Cambridge, MA 02139",3564844736823694
karen49@mercado.net,False,BASIC,9.87,2020-03-29,2020-04-03,288.29,"16527 Marie Overpass
South Alyssa, IL 55658",4710904336341196934
albertperez@james-simmons.com,False,BASIC,37.26,2020-03-29,2020-04-04,104.57,"77 Massachusetts Ave
Cambridge, MA 02139",4667086053372516920
valerie82@allen-parsons.biz,False,BASIC,18.67,2020-01-21,2020-01-22,119.75,"82025 Cameron Island
Mariahmouth, FL 66939",3518001769438406
jaywheeler@pratt.com,True,DELUXE,0.0,2020-06-01,2020-06-04,225.69,"27260 Amy Grove Suite 845
Bensonborough, PA 57129",4189467192702831
shelly69@casey.net,True,DELUXE,0.0,2020-08-26,2020-08-27,176.85,"1234 Corporate Drive
Boston, MA 02116",4245269298343508
cynthia01@knight.com,True,BASIC,0.0,2020-02-02,2020-02-04,93.8,"77 Massachusetts Ave
Cambridge, MA 02139",36211721763911
regina91@fleming.com,False,BASIC,17.6,2021-01-02,2021-01-03,104.85,"9525 Adkins Valleys Apt. 059
Michaelfort, UT 59519",4074459116174971
heatherbrowning@brewer-hopkins.com,False,BASIC,,2020-06-10,2020-06-11,103.38,"00536 Brittany Ways Suite 827
North Emily, NJ 05837",370602888794885
michaelwilliams@ball.com,False,BASIC,23.92,2020-08-04,2020-08-08,109.51,"10048 Thompson Ville Apt. 960
Andrewbury, MA 76648",4785111951051
bryanmack@hansen.com,False,BASIC,28.18,2020-11-27,2020-11-28,113.9,"77 Massachusetts Ave
Cambridge, MA 02139",30548109696965
smithjennifer@davis.com,False,BASIC,34.95,2020-03-05,2020-03-06,102.12,"221 Lopez Bypass Suite 004
Benjaminchester, ME 19764",4650088697745024
rebeccamoreno@ross-davenport.biz,False,BASIC,17.88,2020-08-09,2020-08-11,103.69,"1234 Corporate Drive
Boston, MA 02116",3587892115731460
sarah92@jenkins-jackson.org,False,BASIC,12.84,2020-08-29,2020-08-31,127.21,"77 Massachusetts Ave
Cambridge, MA 02139",4347482390461898184
kimberlycarrillo@taylor-johnston.com,False,BASIC,11.93,2020-03-27,2020-03-30,113.34,"5678 Office Road
San Francisco, CA 94103",5184481252880751
christina23@townsend-jenkins.com,False,BASIC,21.07,2020-03-13,2020-03-14,109.44,"10048 Thompson Ville Apt. 960
Andrewbury, MA 76648",2296676199868502
zstevens@becker.com,False,BASIC,17.78,2020-08-06,2020-08-07,113.36,"1234 Corporate Drive
Boston, MA 02116",213139140382523
xgreene@rodriguez-wood.net,True,BASIC,0.0,2020-11-10,2020-11-12,88.91,"77 Massachusetts Ave
Cambridge, MA 02139",6011754475721284
christineperry@carlson.com,False,BASIC,20.87,2020-06-15,,150.78,"645 Sarah Loop
Richardsburgh, WV 88541",4278092252202
sarasanchez@curry.com,False,BASIC,25.62,2020-01-28,2020-01-31,203.54,"502 Grant Spring Apt. 915
Patriciaport, VA 24312",4500509902359766
coxdiana@brewer.com,False,DELUXE,17.06,2020-09-13,2020-09-15,334.75,"5678 Office Road
San Francisco, CA 94103",676328017378
william39@cole-whitehead.biz,False,SUITE,17.25,2020-05-18,2020-05-21,290.85,"295 Armstrong Mall Apt. 768
Lake Robert, VT 59217",6011256591603404
bushandrew@freeman-fox.info,False,BASIC,24.35,2020-06-05,2020-06-08,142.4,"5678 Office Road
San Francisco, CA 94103",370173796345194
knightjose@rodgers.com,False,BASIC,48.12,2020-11-20,2020-11-22,186.76,"5722 Rachel Cape
East Taylor, NC 73091",3558131351596781
kenneth46@kim-taylor.com,False,BASIC,22.52,2020-06-09,2020-06-12,214.26,"719 Tammy Cove Suite 832
Gregoryville, WV 39515",30278005957051
oburgess@graves.info,False,BASIC,21.33,2020-08-27,2020-08-29,186.94,"48130 Dougherty Mews
Lake Brendaland, CO 39494",3546683304217167
scoleman@golden-cole.org,True,SUITE,0.0,2020-07-09,2020-07-12,267.51,"918 Andrew Club
South Elaineburgh, VA 71836",4654744543680874
vickie49@garcia.com,False,BASIC,,2020-12-19,2020-12-22,110.65,"862 Mueller Creek Apt. 492
Whiteland, WY 55940",213196157892554
juanwatson@chung.org,True,SUITE,0.0,2020-02-20,2020-02-21,204.06,"5678 Office Road
San Francisco, CA 94103",4432016585990225
zacharyobrien@bailey-jones.org,False,BASIC,18.02,2020-09-10,2020-09-11,148.29,"08424 Jared Locks
New Margaretville, NV 61123",378967236052803
cindy15@graves.com,False,BASIC,44.58,2020-09-30,2020-10-01,118.29,"7874 Joshua Hills Apt. 837
Fullerfort, HI 81547",30199212440998
anthonybond@nguyen-white.info,False,BASIC,31.04,2020-07-30,2020-08-01,119.0,"24740 Hart Port Apt. 837
Donnaton, GA 07999",4749975942425522
mariabaird@hooper.org,False,BASIC,38.82,2020-02-28,2020-03-01,108.25,"7387 Armstrong Dale
Martinhaven, LA 76404",4121896256427227
alisonblackburn@houston.info,True,SUITE,0.0,2020-06-11,2020-06-12,205.47,"41538 Kevin Court Suite 962
Port Aaronburgh, OH 90832",4591626894657
samuelbrown@smith.com,True,BASIC,0.0,2020-09-27,2020-09-28,161.63,"77 Massachusetts Ave
Cambridge, MA 02139",2278369833354665
wuanna@lee-berry.biz,False,BASIC,30.7,2020-06-30,2020-07-03,131.98,"9280 Laura Prairie Suite 706
Romerochester, MD 18961",30414181522878
ramirezelizabeth@sullivan.com,False,BASIC,21.67,2020-11-20,2020-11-23,106.92,"5678 Office Road
San Francisco, CA 94103",3537935255557566
leefrancis@rodriguez.biz,False,BASIC,14.29,2020-05-31,2020-06-01,129.68,"1234 Corporate Drive
Boston, MA 02116",4411263398291038
zpatterson@beltran-perez.com,False,BASIC,22.66,2020-02-19,2020-02-22,127.26,"347 Thompson Prairie Suite 657
East Michelleport, PA 68731",343625472210731
vfloyd@conrad-lee.net,False,BASIC,13.61,2020-05-02,2020-05-05,133.85,"5678 Office Road
San Francisco, CA 94103",372698791605265
ibush@perry-jordan.com,False,BASIC,13.46,2020-09-22,2020-09-25,287.4,"6409 Navarro Mountain Apt. 363
North Davidbury, NV 71685",345194634715234
johnkoch@burke.biz,False,BASIC,19.46,2020-01-14,2020-01-15,119.4,"74861 Teresa Passage
Port Judith, NC 60578",4480929158863
blakemichael@elliott.info,False,BASIC,33.15,2020-10-11,2020-10-14,105.59,"77 Massachusetts Ave
Cambridge, MA 02139",4257690684249055
robertoortega@lamb-hall.com,False,BASIC,23.51,2020-09-02,2020-09-04,120.83,"5678 Office Road
San Francisco, CA 94103",676297351519
howellmaria@williams-fletcher.org,False,DELUXE,36.27,2020-06-12,2020-06-14,185.52,"5678 Office Road
San Francisco, CA 94103",213102468590853
longbianca@fletcher.com,False,BASIC,21.22,2020-07-21,2020-07-22,134.76,"1234 Corporate Drive
Boston, MA 02116",4680185259803409923
hammonddonna@austin-stewart.com,False,BASIC,,2020-04-24,2020-04-27,124.79,"20184 Johnston Stravenue
Williamberg, WA 79350",180019235123355
samanthacraig@stuart.com,False,BASIC,,2020-11-15,2020-11-16,128.4,"5678 Office Road
San Francisco, CA 94103",4501453483101314
christopherlane@knight.com,False,BASIC,11.28,2020-07-06,2020-07-07,111.39,"65278 Jessica Park Apt. 006
Chaveztown, ME 95080",4021904113272082
robertomorris@long.com,True,SUITE,0.0,2020-12-07,2020-12-10,230.38,"77 Massachusetts Ave
Cambridge, MA 02139",561674411369
lisageorge@sherman.com,True,DELUXE,0.0,2020-11-06,2020-11-09,152.06,"5678 Office Road
San Francisco, CA 94103",6567697554048087
shannonwilliams@wilson-kennedy.com,False,BASIC,36.19,2020-11-11,2020-11-14,133.69,"Unit 5157 Box 0618
DPO AA 28688",30538794273535
nicole04@brewer.info,False,BASIC,25.13,2020-04-19,2020-04-22,114.86,"25564 Foster Mountains
Aliciatown, NJ 85758",4503955668743
bbrown@newton.com,False,BASIC,,2020-11-16,2020-11-17,106.56,"114 Hansen Gateway Apt. 540
New Angela, VT 46975",577278307001
brandondodson@washington-melendez.com,False,BASIC,1.34,2020-01-31,2020-02-03,133.07,"5678 Office Road
San Francisco, CA 94103",345725782065177
watsonlaura@mosley.biz,False,BASIC,22.83,2020-04-19,2020-04-24,109.91,"77 Massachusetts Ave
Cambridge, MA 02139",501828617636
kathystuart@smith.com,False,BASIC,19.53,2020-12-23,2020-12-24,185.1,"49487 Castillo Summit Apt. 010
Charlesshire, NY 30110",572922559412
colleenharvey@barnett.com,False,BASIC,26.17,2020-04-08,2020-04-09,131.28,"1234 Corporate Drive
Boston, MA 02116",6011247658549580
obrienbrenda@gentry.biz,False,BASIC,11.62,2020-02-25,2020-02-27,132.06,"5678 Office Road
San Francisco, CA 94103",3554356011481199
shannon70@stewart-brown.org,False,BASIC,17.92,2020-08-30,2020-08-31,122.23,"4274 Haynes Alley Apt. 017
North Sharon, AZ 71154",501800374396
dustin75@pierce.com,False,BASIC,19.85,2020-06-18,2020-06-21,118.93,"5678 Office Road
San Francisco, CA 94103",30167012906153
dterry@steele-guerrero.com,False,BASIC,22.88,2020-06-29,2020-06-30,101.85,"20185 Devin Junction Suite 985
New Damonshire, PA 92492",30032234828710
nthomas@robles-davis.com,True,DELUXE,0.0,2020-12-31,2021-01-01,208.18,"46181 Aguilar Passage Suite 916
Lake Phillip, NC 25168",4020522638259623
taylormary@howard.biz,False,SUITE,32.64,2020-07-13,2020-07-18,258.9,"00536 Brittany Ways Suite 827
North Emily, NJ 05837",4099662733177
parkernicole@glover-steele.com,False,BASIC,38.97,2020-08-24,2020-08-27,152.26,"440 Caitlin Circles
Tinatown, WI 85333",2594188935837030
gerald03@bridges-vaughn.net,False,BASIC,7.94,2020-07-06,2020-07-07,110.61,"6035 Guzman Knolls
Cooketon, KS 79826",3532661818556094
leah69@garner.com,False,BASIC,,2020-07-10,2020-07-11,117.41,"5678 Office Road
San Francisco, CA 94103",503808645017
williamsnatalie@briggs-green.com,True,SUITE,0.0,2020-12-04,2020-12-06,216.05,"77 Massachusetts Ave
Cambridge, MA 02139",4911973576261
malikromero@wolfe.org,False,BASIC,3.61,2020-09-28,2020-09-30,107.11,"7150 Jose Neck
West Bobby, NH 57804",676338144741
ericawade@spencer.com,False,DELUXE,23.63,2020-05-23,2020-05-26,191.92,"5678 Office Road
San Francisco, CA 94103",639080576775
chelsea98@compton.biz,False,BASIC,8.41,2020-09-17,2020-09-20,132.34,"77 Massachusetts Ave
Cambridge, MA 02139",3506479827172221
sarah16@hall.info,False,BASIC,9.7,2020-08-05,2020-08-06,113.27,"77 Massachusetts Ave
Cambridge, MA 02139",3576967276323126
jorgeboyle@campos.com,False,BASIC,9.7,2020-08-28,2020-08-29,105.67,"993 Rebecca Landing
Jesseburgh, PA 05072",180053221577027
michael92@keller.com,False,BASIC,11.5,2020-05-26,2020-05-27,111.32,"1234 Corporate Drive
Boston, MA 02116",213108503601662
